"","imdb_title_id","title","year","genre","duration","country","language","director","actors","usa_gross_income","worldwide_gross_income","weighted_average_vote","total_votes","mean_vote","median_vote","allgenders_0age_avg_vote","allgenders_18age_avg_vote","allgenders_30age_avg_vote","allgenders_45age_avg_vote","males_allages_avg_vote","males_0age_avg_vote","males_18age_avg_vote","males_30age_avg_vote","males_45age_avg_vote","females_allages_avg_vote","females_0age_avg_vote","females_18age_avg_vote","females_30age_avg_vote","females_30age_votes","females_45age_avg_vote","top1000_voters_rating","us_voters_rating","non_us_voters_rating","movie_length"
"1","tt0120667","I Fantastici 4",2005,"Action, Adventure, Fantasy",106,"USA, Germany","English","Tim Story","Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon, Hamish Linklater, Kerry Washington, Laurie Holden, David Parker, Kevin McNulty, Maria Menounos, Michael Kopsa, Andrew Airlie, Pascale Hutton, G. Michael Gray",154696080,333535934,5.7,307944,5.8,6,5.6,5.7,5.6,5.9,5.7,5.3,5.7,5.6,5.9,6,7.1,6.1,5.8,19068,6.1,5.7,5.6,5.7,"medium"
"2","tt0160706","The Prodigy",2005,"Crime, Drama, Thriller",120,"USA","English","William Kaufman","Holt Boggs, Glen Vorhis, Matt Beckham, Diana Lee Inosanto, Mirelly Taylor, Lawrence Varnado, Marc Hébert, Marc Jeffreys, Jay Moses, Tery Corkran, Dameon Clarke, Gabriel Buentello, Mark Hanson, Jimmy Costello, Ivan Melgarejo",NA,NA,5.5,870,6.4,6,NA,5.9,5.5,5.4,5.5,NA,6,5.6,5.3,5.7,NA,6,4.5,28,7.5,5.1,5.7,5.4,"medium"
"3","tt0251951","Pretty Cool",2006,"Comedy, Sci-Fi",92,"USA","English","Rolfe Kanefsky","Will Burke, Alexis Thorpe, Gerard Karsenty, Amy Brassette, Cecilia Bergqvist, Summer Altice, Cindy Campbell, Holly Sampson, Jake Waldinger, Robert Donavan, Shauna O'Brien, Lyle Skosey, William Frederick Knight, Brandy Miller, Sandy Wasko",NA,NA,4.1,450,4.7,4,5,3.9,4.2,4.2,4.1,NA,3.7,4.3,4.1,3.8,5,8.7,2.4,13,5.7,4.7,4.3,4,"medium"
"4","tt0327498","Squadra di ciclisti",2005,"Comedy, Family",79,"USA","English","Richard Gabai","Braden Parkes, Emily Petta, Thomas Garner, Graham Spillman, Stephanie Denise Griffin, Callie Waterman, Wolf Bradley, Michael C. Vaccaro, Michael Olifiers, Michael McConnohie, Gary Garfinkel, Toni Prima, Helen Karagozian, Bridget Oberlin, Greg Ellery",NA,NA,3.1,142,3.7,3,NA,3.5,3.2,3.1,3.2,NA,3.4,3.2,3.2,2.9,NA,3.6,3,7,1.7,2.9,3.4,3.1,"short"
"5","tt0327643","Dirty Love: Tutti pazzi per Jenny",2005,"Comedy, Romance",91,"USA","English","John Asher","Jenny McCarthy, Eddie Kaye Thomas, Carmen Electra, Victor Webster, Kam Heskin, Guillermo Díaz, Jessica Collins, Renee Albert, Noah Harpster, Jay Johnston, Judith Drake, David O'Donnell, Forbes March, Deryck Whibley, Tabitha Taylor",36099,36099,3.6,6744,4.5,4,1,3.4,3.5,3.7,3.3,1,3.2,3.2,3.6,4.5,NA,3.8,4.5,910,5.2,3.3,3.8,3.2,"medium"
"6","tt0338294","Nowhere Man",2005,"Comedy, Crime, Drama",78,"USA","English","Tim McCann","Michael Rodrick, Debbie Rochon, Frank Olivier, Lloyd Kaufman, Bob Gosse, Michael Risley, James Burton, Mark Tchelistcheff, Rod Razor, Steve Olivieri, Aaron Parker, Eric Hill, Paul Williams, Kathy Good, Elvira Sinani",3105,3105,3.7,204,4.8,4.5,NA,5.8,3.9,3.4,3.8,NA,5.8,3.9,3.5,3.1,NA,NA,5.2,6,1,3.8,4.1,3.5,"short"
"7","tt0351283","Madagascar",2005,"Animation, Adventure, Comedy",86,"USA","Greek, American Sign Language, English, Portuguese, Spanish, German, French","Tom McGrath","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith, Sacha Baron Cohen, Cedric the Entertainer, Andy Richter, Tom McGrath, Christopher Knights, Chris Miller, Conrad Vernon, Eric Darnell, David Cowgill, Stephen Apostolina, Elisa Gabrielli",193595521,542063846,6.9,357718,7,7,6.9,7,6.9,6.9,6.9,6.8,6.9,6.8,6.8,7.1,7.2,7.2,7.1,29737,7.1,6.6,6.7,6.9,"short"
"8","tt0360556","Fahrenheit 451",2018,"Drama, Sci-Fi, Thriller",100,"USA","English","Ramin Bahrani","Michael B. Jordan, Aaron Davis, Cindy Katz, Michael Shannon, Mayko Nguyen, Dylan Taylor, Saad Siddiqui, Katherine Cullen, Edsson Morales, Jordan Baker, Nathanial Buzzanga-Silveira, Charlotte Flint, Luke Flint, Malakai Fox, Marni Hogg",NA,NA,4.9,16882,4.9,5,4.5,5,4.8,4.9,4.9,3.8,4.9,4.8,4.8,5.1,5.9,5.2,4.9,971,5.2,4.4,4.9,4.8,"medium"
"9","tt0361748","Bastardi senza gloria",2009,"Adventure, Drama, War",153,"Germany, USA","English, German, French, Italian","Quentin Tarantino","Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth, Michael Fassbender, Diane Kruger, Daniel Brühl, Til Schweiger, Gedeon Burkhard, Jacky Ido, B.J. Novak, Omar Doom, August Diehl, Denis Ménochet, Sylvester Groth",120540719,321455689,8.3,1229958,8.2,8,8.6,8.5,8.3,7.8,8.3,8.6,8.5,8.3,7.8,8.3,8.1,8.5,8.3,74491,7.9,7.8,8.3,8.3,"long"
"10","tt0361858","Lurking in Suburbia",2006,"Comedy",87,"USA","English","Mitchell Altieri","Joe Egender, Samuel Child, Ari Zagaris, Buffy Charlet, Mark Alexander, Shana Barrett, Cody Carroll, Corky Cornett, Catherine Frazier, Jonté LeGras, Desiree Matthews, Chad McGuirk, Katina Mercadante, Jerry Moore, Eddy Murillo",NA,NA,5.9,122,6.6,7,NA,8,6.2,6,6.3,NA,NA,6.4,6.2,4.8,NA,8,5.5,8,4,6.8,6.4,5,"short"
